Event,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Probability
E1214,8.13,0.66,6.36,5.09,6.21,5.72,5.67,6.72,9.66,0.00012849
E1215,5.38,2.77,0.47,0.48,9.97,8.91,3.84,5.78,9.65,0.00035131
E1216,1.79,8.25,9.87,4.03,3.03,7.89,0.11,7.16,5.88,0.00018599
E1217,1.51,7.81,6.18,2.34,0.68,1.73,4.25,6.99,7.97,0.00039613
E1218,9.2,5.22,0.5,5.97,4.27,4.19,0.22,3.45,8.26,5.325e-05
E1219,0.27,2.35,8.48,2.74,0.83,4.85,7.54,3.03,8.72,0.00039043
E1220,2.65,9.22,2.24,8.22,1.25,2.58,8.04,9.87,7.17,6.45e-05
E1221,6.45,4.3,7.91,5.5,7.96,2.7,5.19,7.04,4.5,1.98e-06
E1222,3.23,7.73,6.32,8.76,3.75,1.6,4.74,4.42,3.29,0.00011194
E1223,2.31,5.75,1.04,4.13,6.01,0.99,7.02,9.98,1.83,0.00038981
E1224,4.69,9.71,5.31,8.82,9.22,7.34,6.63,5.11,3.72,0.00014852
E1225,9.74,4.75,6.15,7.17,8.85,4.76,6.43,0.04,1.58,0.00011336
E1226,1.09,6.66,5.9,4.02,0.75,0.46,4.48,5.61,5.02,0.00014299
E1227,7.87,4.82,9.29,3.83,7.37,7.0,5.08,1.52,2.3,0.00035854
E1228,2.8,1.02,1.03,6.92,5.47,9.44,8.93,8.59,3.87,9.931e-05
E1229,6.19,9.94,5.34,1.85,7.2,8.93,0.28,8.43,6.14,6.07e-05
E1230,2.75,5.48,0.23,7.25,0.39,1.86,0.35,3.04,8.96,0.0001821
E1231,1.53,2.25,5.55,1.65,1.91,2.14,0.87,2.76,8.72,0.00024567
E1232,3.78,2.16,9.06,0.56,7.82,9.56,1.9,0.22,9.02,0.0001358
E1233,9.21,7.27,2.95,3.17,3.96,2.72,9.82,8.21,4.8,0.00020919
E1234,6.21,3.4,5.48,6.15,4.57,9.67,8.48,7.24,7.83,0.0003496
E1235,1.58,7.74,2.48,5.13,5.35,1.9,6.32,3.24,2.8,0.00021007
E1236,3.04,0.32,0.31,7.38,1.68,1.64,0.83,4.81,7.97,0.00032329
E1237,3.82,3.38,5.78,5.63,3.76,2.3,7.66,6.01,2.83,6.177e-05
E1238,8.89,2.96,7.48,6.71,0.46,0.26,9.7,2.39,6.7,0.00039171
E1239,7.37,2.96,8.69,5.42,8.44,2.07,6.32,7.85,6.07,0.00025188
E1240,6.6,1.34,0.57,9.36,0.21,7.62,5.13,3.08,7.58,0.00017033
E1241,8.72,9.86,3.05,1.43,8.12,4.76,6.63,7.82,5.28,0.00034578
E1242,1.73,3.47,3.32,2.84,1.39,8.33,5.22,9.59,7.43,0.00022591
E1243,6.16,7.01,7.66,4.53,6.61,1.92,5.68,2.76,1.85,0.00016904
E1244,5.7,4.58,6.91,4.73,6.38,7.71,1.89,0.37,5.34,0.00021416
E1245,3.78,3.32,7.7,6.58,8.6,3.52,7.45,4.12,5.7,2.295e-05
E1246,0.51,9.32,3.47,7.43,7.94,8.09,1.27,9.2,0.03,2.405e-05
E1247,6.27,9.53,1.56,8.29,9.95,9.65,3.79,9.13,3.92,0.00015241
E1248,5.77,5.4,2.29,6.71,4.23,3.74,9.3,8.15,7.33,0.00022116
E1249,7.35,7.46,1.09,4.78,6.77,5.87,6.43,1.88,7.67,4.922e-05
E1250,6.5,0.36,5.73,7.94,4.31,0.18,6.16,6.38,6.58,0.00023286
E1251,3.52,6.85,1.85,1.73,7.33,9.87,9.98,7.87,4.46,0.00038902
E1252,4.7,4.32,1.04,7.66,1.3,4.61,0.8,9.44,1.84,0.00024318
E1253,0.86,6.29,4.13,2.42,2.05,2.49,6.76,7.6,1.72,0.00029135
E1254,4.56,7.82,6.92,4.96,0.52,8.54,2.85,7.16,3.49,0.0002168
E1255,7.46,1.43,3.85,1.66,0.25,6.52,1.58,0.37,9.87,0.00029566
E1256,3.89,9.49,4.63,7.88,4.35,7.81,4.9,2.68,8.34,0.00017385
E1257,3.05,5.6,0.6,6.17,5.85,6.44,4.89,2.17,6.94,0.00014523
E1258,5.09,0.87,1.5,3.08,5.08,3.45,2.2,1.32,0.54,0.00031794
E1259,9.65,8.14,1.53,6.51,8.07,0.48,6.5,9.41,2.4,0.0001617
E1260,1.72,3.27,5.61,0.47,3.88,6.76,7.27,8.84,7.03,0.00016
E1261,0.51,9.64,3.35,1.05,1.99,7.43,3.52,3.4,6.49,0.00037699
E1262,0.39,4.28,5.79,4.28,9.3,3.7,9.37,6.89,9.89,1.649e-05
E1263,5.01,5.48,6.11,7.21,4.25,2.28,3.46,8.68,1.71,8.188e-05
E1264,4.13,8.09,8.66,3.04,6.53,1.74,7.62,4.59,5.33,0.00017609
E1265,3.03,6.07,7.69,0.83,9.34,0.56,8.81,1.38,2.08,0.00034578
E1266,5.57,7.33,7.95,4.7,4.34,4.29,7.12,6.97,0.6,0.00018452
E1267,8.08,4.27,1.02,8.15,2.23,1.37,2.92,5.66,4.39,1.762e-05
E1268,4.39,3.29,8.12,5.69,1.59,3.35,9.98,3.15,1.94,0.00010179
E1269,0.31,6.71,8.52,4.31,3.97,8.82,9.3,6.02,5.15,0.00032956
E1270,6.91,9.13,4.32,8.9,5.73,0.42,2.29,5.14,4.37,0.00022205
E1271,3.14,0.08,2.09,3.17,5.42,7.5,2.62,0.37,8.28,0.00013569
E1272,0.09,1.5,0.8,6.26,2.73,0.53,6.8,9.54,4.58,0.00028129
E1273,9.64,1.36,7.59,7.9,7.61,4.0,2.03,5.51,5.82,0.00012989
E1274,2.13,3.72,2.54,8.8,6.35,6.59,8.29,3.5,0.15,9.452e-05
E1275,7.05,6.42,7.27,7.64,2.3,0.36,5.01,0.96,0.57,0.0002579
E1276,6.51,1.41,1.29,2.43,7.08,6.86,1.84,8.89,9.4,0.00011473
E1277,9.36,4.82,1.53,5.81,1.32,8.52,9.37,8.83,8.52,0.00029358
E1278,2.56,0.08,9.07,9.11,7.83,2.97,3.47,1.92,0.76,9.53e-06
E1279,2.81,9.87,5.94,1.76,4.49,8.53,0.33,6.22,2.96,0.00013836
E1280,0.89,2.94,0.75,8.8,3.3,7.42,1.12,2.85,8.57,4.229e-05
E1281,5.23,9.46,3.01,2.64,7.32,6.2,6.41,9.7,1.1,0.00021219
E1282,4.87,7.19,0.72,0.08,4.14,7.82,5.93,0.8,7.0,0.0002033
E1283,3.67,7.65,6.45,7.06,1.75,1.05,6.37,1.39,9.13,0.00036625
E1284,5.22,0.32,2.66,2.82,4.05,9.45,2.37,6.27,7.91,5.862e-05
E1285,8.62,8.24,2.27,5.9,6.63,5.63,5.8,5.72,4.24,0.00014839
E1286,0.52,2.48,9.27,3.37,2.38,7.03,8.29,0.79,5.28,3.648e-05
E1287,1.05,2.86,9.64,3.24,5.19,7.25,8.27,7.08,8.64,0.00039054
E1288,8.95,3.62,4.81,2.12,2.19,0.93,2.89,4.51,5.37,9.319e-05
E1289,5.69,5.72,7.73,4.8,3.19,8.02,6.29,6.7,7.08,3.527e-05
E1290,0.53,7.99,6.92,7.68,1.58,8.21,6.93,0.58,7.33,0.00011582
E1291,3.71,7.98,7.94,9.49,6.78,5.1,8.57,1.51,0.57,0.00027695
E1292,9.88,4.75,2.23,6.09,5.57,1.13,7.35,7.9,1.9,0.00039382
E1293,4.13,6.47,5.7,0.96,8.91,1.31,1.64,3.0,8.03,0.00030918
E1294,7.07,0.93,7.7,5.35,9.74,5.73,8.14,0.6,2.49,0.00019895
E1295,2.27,3.79,8.35,1.99,0.86,6.9,4.87,7.06,5.05,0.00032865
E1296,6.91,9.74,1.23,6.62,5.43,4.94,4.48,9.11,8.91,0.00026147
E1297,5.61,5.32,6.24,3.58,0.38,9.76,4.31,3.06,8.36,0.00020359
E1298,0.28,3.19,2.6,3.11,4.5,4.93,2.06,7.16,1.67,6.59e-05
E1299,1.72,5.59,1.04,5.72,2.81,4.21,4.23,2.04,6.76,0.00039098
E1300,6.66,6.09,6.94,3.66,2.01,4.61,8.08,9.58,6.57,0.0002405
E1301,4.96,6.0,2.31,5.99,1.65,4.0,8.49,5.08,0.79,5.611e-05
E1302,6.33,8.69,2.95,2.56,8.19,9.69,3.69,9.63,6.93,0.00034787
E1303,4.5,5.13,4.73,5.94,3.16,3.11,6.35,4.94,3.34,0.00025699
E1304,0.04,1.82,3.61,3.47,2.06,9.45,8.46,6.54,4.04,2.306e-05
E1305,5.23,2.53,2.26,7.33,6.29,9.71,9.27,2.04,6.13,0.00035262
E1306,0.65,4.56,2.12,5.97,8.82,3.59,5.61,4.3,2.09,0.00018516
E1307,6.34,0.96,7.4,0.46,5.88,0.06,6.78,5.19,9.81,0.00037555
E1308,5.67,3.4,7.03,2.64,9.72,1.33,2.22,1.74,9.16,0.00024966
E1309,3.73,1.59,3.06,2.68,7.07,4.11,0.42,0.79,0.2,5.737e-05
E1310,2.21,7.93,4.48,6.24,5.91,6.3,5.47,0.55,8.65,0.00018842
E1311,1.12,4.17,5.37,8.05,3.46,2.96,9.17,5.95,2.06,5.165e-05
E1312,5.45,9.75,5.97,0.24,6.4,0.67,3.54,3.47,4.7,2.467e-05
E1313,5.6,3.38,2.95,2.15,2.49,9.59,0.25,2.11,1.76,0.00022475
E1314,9.42,8.09,4.18,3.35,2.74,4.98,7.38,2.68,8.69,0.00019209
E1315,1.0,1.24,1.12,0.24,8.74,8.48,5.09,2.1,1.67,0.00032444
E1316,7.18,9.8,6.65,6.12,0.46,5.93,4.63,1.73,4.92,0.00034472
E1317,9.48,1.67,1.66,0.07,8.64,5.21,6.92,5.61,5.39,0.00037775
E1318,0.96,2.66,4.66,5.48,1.75,8.67,2.05,6.72,0.99,6.18e-06
E1319,3.29,2.42,6.58,2.14,9.01,8.75,7.32,1.99,9.74,0.00011019
E1320,9.98,2.05,5.94,2.99,8.23,7.82,9.85,8.64,0.08,0.00034682
E1321,9.36,8.41,1.44,6.73,0.1,5.17,9.46,5.88,6.76,8.883e-05
E1322,7.15,6.22,7.13,5.16,4.41,0.85,9.72,1.06,2.5,0.00030332
E1323,5.42,4.67,5.92,9.16,0.88,7.44,8.43,1.66,1.87,5.546e-05
E1324,3.26,4.26,2.0,9.43,7.84,1.85,4.54,5.2,7.33,8.617e-05
E1325,4.26,3.18,5.08,2.6,9.37,7.35,3.1,9.22,1.2,0.00037864
E1326,4.85,7.62,9.86,0.35,1.01,6.81,8.4,0.96,0.37,0.00020491
E1327,0.06,8.99,0.1,8.12,7.42,8.56,7.07,5.89,5.25,0.00039361
E1328,0.31,8.93,7.45,3.18,1.42,2.73,8.38,0.66,3.38,0.00034234
E1329,9.96,1.85,2.47,3.39,3.03,1.22,0.63,6.36,1.47,6.128e-05
E1330,7.29,3.58,9.17,2.26,1.88,7.1,1.9,9.39,0.27,0.00038291
E1331,7.13,7.74,5.52,5.77,6.18,0.42,3.87,5.46,8.63,0.00028959
E1332,7.57,1.8,2.21,8.52,5.45,2.73,5.21,5.1,4.19,0.00025412
E1333,7.33,0.21,0.31,4.1,2.8,8.36,2.61,4.22,9.45,0.00038466
E1334,4.01,4.13,8.79,4.56,7.27,7.13,6.15,5.94,9.64,7.877e-05
E1335,9.85,3.79,9.34,8.05,0.18,0.7,6.66,8.77,1.24,0.00026236
E1336,2.11,5.52,4.23,1.66,2.51,6.03,1.37,6.36,8.53,0.00022418
E1337,3.91,4.64,9.03,3.48,2.87,7.01,8.94,1.19,7.09,6.618e-05
E1338,7.23,5.07,2.14,2.76,3.94,7.53,5.43,1.67,5.79,0.00017272
E1339,1.86,1.98,9.77,3.6,3.65,1.56,4.81,7.72,4.09,0.00034712
E1340,1.58,2.29,2.56,9.37,4.53,8.93,7.21,4.71,9.83,0.00023491
E1341,3.45,5.36,7.19,8.38,8.0,9.11,0.6,7.99,4.61,0.0002237
E1342,0.25,7.93,7.94,6.81,1.66,7.78,1.12,7.01,1.63,6.51e-06
E1343,1.49,9.68,3.4,2.56,8.23,6.95,4.45,9.3,0.98,0.00035183
E1344,2.73,9.2,2.9,2.68,3.51,0.25,2.28,7.35,9.13,0.00025146
E1345,6.39,1.82,4.45,0.72,5.51,3.55,1.57,7.49,5.82,0.00027966
E1346,5.96,7.27,3.83,9.61,0.07,5.4,2.86,1.81,4.06,0.00023596
E1347,7.85,3.55,9.11,9.2,0.23,5.87,2.52,3.87,2.31,0.00010939
E1348,7.93,8.83,9.16,5.32,6.87,6.5,8.93,5.9,8.45,0.00033539
E1349,4.88,9.73,7.25,0.58,1.09,2.01,4.05,3.43,6.03,0.00037509
E1350,4.19,2.57,2.31,1.36,7.67,8.83,8.16,2.85,1.14,0.00017629
E1351,7.02,8.8,2.44,6.28,5.9,5.83,3.7,8.25,4.91,0.00028646
E1352,4.45,9.91,9.9,10.0,4.65,5.37,9.55,7.96,3.62,0.00032941
E1353,2.99,4.8,3.41,1.94,7.08,1.37,3.55,9.13,2.77,0.00013685
E1354,1.57,6.07,3.5,0.3,1.9,0.23,4.75,3.22,1.72,0.00023925
E1355,9.32,5.7,7.52,2.05,2.57,3.64,8.78,4.24,4.41,0.00039232
E1356,7.68,0.44,2.73,8.54,3.19,3.26,0.83,3.3,4.7,0.0003509
E1357,4.77,5.7,1.35,8.84,8.79,9.94,5.68,8.33,4.58,0.00025806
E1358,2.58,6.46,8.51,6.63,7.73,4.87,0.84,1.38,7.81,3.44e-05
E1359,4.69,2.66,2.19,0.55,2.94,5.16,3.32,4.2,4.24,7.15e-05
E1360,0.67,3.21,6.81,4.69,4.71,7.74,7.5,3.37,9.17,0.00028746
E1361,1.1,0.08,0.55,8.56,5.54,9.7,3.33,2.04,2.18,1.836e-05
E1362,2.2,6.26,3.04,0.54,6.82,7.56,9.32,0.04,5.78,0.00033223
E1363,4.45,4.95,7.44,2.81,8.82,9.12,1.25,7.17,6.14,0.00019208
E1364,6.14,1.89,3.46,0.32,8.29,9.25,5.64,8.05,4.32,0.0002557
E1365,5.82,3.4,6.29,5.79,7.66,0.26,0.31,4.77,3.76,2.291e-05
E1366,2.98,5.71,9.73,1.26,5.11,8.44,9.27,6.55,9.82,0.00028452
E1367,2.77,7.33,5.78,6.59,8.32,6.12,4.12,6.16,4.35,0.00029601
E1368,7.56,1.72,1.02,1.56,1.51,0.49,1.86,6.2,5.09,0.00034359
E1369,7.93,8.62,5.87,7.69,2.92,7.7,6.69,7.16,1.97,0.00019407
E1370,8.24,0.1,7.46,4.84,5.93,2.69,9.31,1.4,7.19,0.00017328
E1371,6.65,5.39,0.95,8.89,0.49,8.98,6.95,5.3,8.17,0.00016067
E1372,2.39,2.22,7.48,5.2,4.18,5.76,8.78,8.77,0.44,0.0002471
E1373,7.7,6.33,6.37,2.1,9.84,8.19,7.03,1.88,3.25,0.00033524
E1374,0.83,5.09,4.63,0.1,0.36,6.25,2.37,0.34,3.05,0.00038238
E1375,0.36,8.6,5.25,3.21,7.5,6.15,1.52,9.83,8.13,0.00024494
E1376,1.09,6.09,6.19,7.58,7.63,7.16,3.73,4.15,3.09,0.00021739
E1377,4.27,8.78,4.23,9.48,6.29,5.5,8.76,2.31,0.33,0.00036336
E1378,3.01,4.42,1.7,8.44,0.68,1.04,1.26,4.54,3.93,0.00017462
E1379,1.65,6.12,0.76,8.45,7.52,8.04,2.36,3.02,2.91,0.00027062
E1380,8.4,5.33,1.12,2.46,9.04,1.0,9.34,4.47,5.22,0.00034948
E1381,6.53,6.18,1.33,8.92,6.07,6.19,4.47,1.88,2.88,0.00028954
E1382,5.36,6.49,6.13,9.56,7.04,0.87,7.75,9.77,1.02,0.00027561
E1383,1.8,3.33,7.7,8.97,2.0,3.99,6.16,4.14,9.65,0.0003711
E1384,0.6,8.57,2.69,3.46,3.97,0.97,6.49,5.54,5.05,0.00016946
E1385,0.06,4.2,4.96,0.83,8.16,8.42,9.58,7.97,5.83,0.00036995
E1386,5.21,7.3,6.21,6.18,6.94,1.88,2.66,0.83,1.05,0.00019515
E1387,4.58,7.85,8.95,9.53,4.1,6.95,2.24,1.72,3.7,0.00031799
E1388,2.57,3.09,4.8,3.04,1.84,4.52,5.6,4.46,9.95,0.00034231
E1389,7.33,3.27,8.74,1.85,5.71,3.22,0.68,7.09,9.7,5.026e-05
E1390,2.53,0.87,1.83,0.3,1.77,9.87,4.04,1.0,6.66,0.00037695
E1391,7.53,0.39,0.32,6.22,3.43,4.19,9.71,2.47,2.81,0.00033532
E1392,7.74,2.58,1.14,9.41,7.78,6.23,4.53,9.28,3.68,8.087e-05
E1393,9.33,9.16,2.39,3.98,2.81,9.8,8.34,6.0,2.46,0.00021419
E1394,6.73,2.18,4.91,3.65,0.81,2.82,4.06,5.06,8.08,0.00038294
E1395,7.93,3.89,6.69,4.04,5.06,9.75,8.2,5.67,0.88,0.00020735
E1396,6.72,7.32,9.01,9.77,3.28,3.53,0.65,1.96,9.83,0.00023279
E1397,0.41,5.21,4.58,8.27,7.87,6.99,9.99,4.95,0.66,0.0002275
E1398,7.66,3.19,2.54,0.6,1.79,2.21,3.01,2.26,6.47,1.067e-05
E1399,6.51,8.96,7.81,5.29,7.16,3.73,0.14,7.02,4.78,0.00023379
E1400,6.96,7.26,8.57,3.27,9.4,7.74,5.68,1.79,8.49,0.00024783
E1401,1.78,3.3,1.21,5.24,9.96,8.07,1.68,5.8,7.64,0.0003443
E1402,2.83,6.19,7.71,2.04,6.5,2.17,4.06,4.33,2.05,0.00016469
E1403,4.89,8.7,4.6,4.31,5.38,8.91,2.28,4.63,2.97,1.964e-05
E1404,8.92,6.81,0.74,6.95,1.2,9.58,4.23,0.47,6.26,0.00020603
E1405,1.82,9.0,1.3,2.27,4.0,7.76,1.83,8.99,6.69,0.00010897
E1406,4.33,2.19,8.08,8.42,4.96,2.95,6.32,4.81,5.33,6.055e-05
E1407,7.41,3.44,4.94,5.07,7.62,7.2,8.76,4.24,8.8,9.014e-05
E1408,6.7,8.36,7.35,7.81,8.57,2.12,5.59,3.57,6.92,0.0003312
E1409,9.4,9.69,9.37,8.57,5.01,3.67,8.01,3.9,7.03,0.0003525
E1410,6.7,8.97,2.11,0.68,8.95,5.75,9.19,2.27,9.99,8.97e-05
E1411,5.64,6.03,1.72,6.41,6.74,4.71,6.76,5.39,4.68,0.00031556
E1412,3.37,2.88,2.16,0.94,7.48,2.94,8.87,6.46,6.62,0.00037806
E1413,9.47,6.97,3.32,9.06,4.32,3.9,3.96,6.55,4.47,0.00027677
E1414,7.96,2.1,6.03,4.96,7.11,6.54,1.88,8.59,9.91,0.00026506
E1415,7.58,0.64,5.86,2.44,7.56,0.69,7.47,8.52,0.63,5.664e-05
E1416,7.13,3.53,2.49,2.43,3.8,2.66,8.69,4.17,8.13,0.00027047
E1417,0.61,8.42,0.82,6.73,4.38,1.35,5.92,3.87,4.79,1.529e-05
E1418,2.96,3.98,4.45,0.47,6.15,8.93,0.5,6.55,8.79,4.253e-05
E1419,6.44,6.24,7.32,8.56,1.58,1.51,1.74,3.6,8.74,6.699e-05
E1420,5.93,6.66,8.04,1.96,2.81,0.42,2.34,5.22,0.92,0.00020346
E1421,1.69,3.5,1.15,5.55,4.31,2.06,4.01,2.82,2.4,8.914e-05
E1422,5.88,5.01,6.49,4.09,5.71,4.35,4.43,5.21,3.54,0.00026824
E1423,8.8,8.76,8.92,5.59,9.45,9.28,4.56,6.17,3.14,0.00035287
E1424,7.14,3.12,2.77,9.3,0.64,1.0,8.35,3.84,5.69,4.257e-05
E1425,2.78,5.47,8.19,6.72,2.72,9.17,2.57,9.2,6.09,8.805e-05
E1426,3.33,4.87,4.19,6.95,8.86,7.95,7.84,8.28,4.91,0.00030614
E1427,5.46,7.59,9.21,2.27,8.96,5.27,2.21,1.0,4.53,0.00034981
E1428,8.45,4.78,4.98,7.16,0.01,4.92,6.42,1.3,6.24,0.00015274
E1429,8.0,4.8,1.75,2.2,1.02,5.71,4.22,7.94,9.17,0.00020134
E1430,5.85,0.35,4.53,6.78,1.42,7.57,1.59,3.29,5.87,0.00037972
E1431,5.73,7.96,8.85,5.74,5.95,1.38,8.22,9.7,8.49,0.00039536
E1432,8.04,1.6,6.68,6.53,9.16,5.52,0.61,2.3,8.64,0.0001247
E1433,4.46,7.84,3.83,1.45,5.24,6.28,6.54,3.64,0.92,9.786e-05
E1434,5.54,4.76,8.57,0.77,3.29,7.48,8.78,8.07,4.13,0.0001857
E1435,8.54,4.49,8.37,7.09,8.01,5.79,1.42,6.35,2.03,0.00010075
E1436,5.83,9.33,6.41,7.29,6.67,6.51,6.85,6.04,5.21,0.00023706
E1437,2.55,0.55,4.32,3.19,6.37,7.36,0.73,5.56,6.78,0.00035385
E1438,0.19,8.11,3.37,3.24,5.74,8.84,1.23,3.45,4.08,0.00028024
E1439,1.46,2.27,2.62,4.48,3.91,6.59,5.19,3.92,0.97,0.00015791
E1440,8.95,4.85,8.29,4.57,1.61,4.36,7.53,5.28,0.05,0.00023275
E1441,1.0,2.11,7.45,0.06,9.1,4.84,5.99,2.1,0.84,0.00015344
E1442,8.9,7.54,4.36,2.77,9.91,2.43,4.33,9.16,7.17,0.00033064
E1443,1.26,3.38,2.75,3.42,3.55,3.22,3.75,9.13,8.97,0.00028098
E1444,3.53,8.23,5.12,6.93,0.41,6.7,2.54,3.43,9.03,0.00034359
E1445,2.08,0.83,2.95,2.75,6.11,2.29,0.0,3.06,7.99,6.18e-05
E1446,5.59,8.45,6.14,7.99,8.34,9.09,9.46,3.05,9.23,0.00020417
E1447,6.0,1.65,8.41,8.64,1.24,9.08,5.19,9.72,8.6,0.00030554
E1448,3.48,8.69,8.96,9.92,4.15,2.95,2.16,5.43,3.74,0.00036753
E1449,2.58,0.05,9.79,9.02,6.81,3.65,3.44,5.65,1.49,0.00015858
E1450,6.53,3.04,1.21,6.42,8.2,2.36,1.04,1.35,0.19,0.00024315
E1451,3.22,4.7,2.59,9.92,7.99,8.86,8.33,5.13,3.88,0.00039508
E1452,7.29,7.12,6.48,4.26,0.51,9.01,5.98,9.09,2.0,2.648e-05
E1453,2.17,8.6,6.04,5.6,1.0,4.88,7.59,0.41,1.51,3.17e-05
E1454,5.12,1.47,2.16,9.36,0.48,7.75,8.38,9.78,1.71,7.91e-05
E1455,9.4,4.57,4.24,9.07,7.31,2.52,8.71,9.18,5.03,0.00014155
E1456,3.32,9.36,5.62,5.26,4.61,6.42,0.38,7.23,4.67,0.00033264
E1457,6.04,0.15,4.73,5.25,5.14,6.66,4.29,4.6,9.52,6.727e-05
E1458,1.55,0.92,2.69,4.21,1.65,3.59,4.7,1.68,4.75,0.00017016
E1459,5.98,3.83,6.97,7.61,1.72,0.25,3.22,0.33,5.78,0.00033165
E1460,3.8,0.17,2.64,8.01,6.92,7.31,7.78,5.28,5.52,0.00017826
E1461,4.26,9.78,0.3,3.31,0.01,3.38,5.61,8.62,6.66,3.944e-05
E1462,7.25,4.59,1.27,1.19,2.67,5.9,7.76,0.81,2.99,0.0002799
E1463,7.93,4.76,4.49,7.2,3.99,1.62,1.31,4.19,0.14,8.437e-05
E1464,4.3,3.65,1.6,0.94,6.18,9.19,9.56,5.07,0.78,0.00038826
E1465,8.04,5.05,1.68,0.92,8.26,5.47,0.38,7.0,4.91,0.00012329
E1466,4.59,6.14,8.49,2.53,5.01,3.14,2.35,2.69,8.28,0.00025139
E1467,0.85,2.01,4.89,0.87,9.26,4.42,3.82,0.51,3.9,1.632e-05
E1468,3.35,6.18,6.96,8.86,6.86,6.8,6.01,4.79,7.35,9.645e-05
E1469,4.06,9.45,2.11,7.0,7.1,0.07,3.3,6.2,1.01,0.00022823
E1470,2.63,3.61,4.64,8.42,9.64,0.91,8.57,4.33,6.68,8.047e-05
E1471,1.84,2.48,8.7,6.23,10.0,3.08,6.06,1.26,7.17,0.00014703
E1472,3.5,9.24,9.18,7.58,7.72,5.42,5.26,4.4,7.08,0.00037224
E1473,6.0,1.13,5.46,4.13,2.91,8.13,4.78,2.81,1.21,2.869e-05
E1474,4.64,7.85,4.9,3.12,2.21,6.72,6.11,3.94,3.5,0.00015568
E1475,0.64,0.65,5.69,8.84,3.75,2.79,3.96,4.87,2.03,0.00014555
E1476,7.47,3.61,6.21,6.05,7.88,3.93,7.77,4.4,8.68,0.00032134
E1477,5.29,8.55,4.95,4.63,4.31,1.56,0.12,1.9,2.25,8.114e-05
E1478,0.98,6.22,2.68,5.37,0.05,7.01,3.39,8.24,9.81,0.00030337
E1479,4.69,8.44,2.81,9.47,3.39,2.35,3.49,7.38,3.19,0.00023635
E1480,3.49,1.82,8.5,7.65,2.05,2.56,0.07,1.29,8.4,2.987e-05
E1481,4.29,4.21,1.82,6.87,5.98,5.17,4.24,7.45,2.34,0.00011148
E1482,8.38,9.56,7.86,5.0,4.05,6.44,2.3,1.83,9.61,0.00024954
E1483,4.43,8.22,8.12,7.28,3.24,7.08,9.49,0.79,3.29,0.00016462
E1484,2.46,4.14,3.98,4.12,8.94,1.64,3.9,5.58,2.73,0.00031619
E1485,0.65,2.64,4.84,8.65,8.94,7.51,4.56,6.86,6.97,4.001e-05
E1486,1.56,7.48,6.61,3.82,8.32,4.12,1.33,0.97,6.32,9.838e-05
E1487,5.21,8.41,4.66,0.24,2.34,7.46,3.46,9.46,7.51,1.637e-05
E1488,5.74,8.23,0.94,5.74,3.26,1.08,7.26,7.6,4.87,8.759e-05
E1489,4.13,0.34,3.14,2.32,3.64,1.46,6.41,6.49,2.47,4.835e-05
E1490,2.76,4.08,4.59,2.4,6.72,2.42,0.99,7.56,6.18,3.264e-05
E1491,4.6,1.06,1.48,7.31,6.16,3.33,2.89,6.49,4.52,0.00018946
E1492,5.81,6.16,5.47,8.7,6.14,9.82,5.9,7.74,4.15,1.766e-05
E1493,3.78,3.86,6.8,2.08,5.55,2.57,5.09,5.53,0.16,0.0002277
E1494,2.95,7.49,9.97,0.42,5.45,7.66,6.92,1.04,4.24,0.00039528
E1495,4.48,8.67,4.16,3.66,2.11,1.9,3.32,7.13,4.12,0.00020592
E1496,7.49,1.23,6.56,1.12,5.9,8.03,6.94,6.14,1.37,0.00014341
E1497,3.22,1.71,6.26,5.16,9.4,5.02,3.57,6.31,7.51,0.00035788
E1498,0.42,4.64,0.28,9.73,9.95,8.09,5.2,3.46,3.2,5.478e-05
E1499,5.43,1.37,6.76,8.73,5.31,2.83,8.94,5.54,1.01,0.00015248
E1500,0.42,6.45,8.42,8.49,8.55,0.34,9.24,0.42,4.52,0.0003467
E1501,6.92,1.4,0.4,4.7,1.23,8.47,1.05,4.07,5.24,0.00039566
E1502,8.56,8.11,2.55,2.41,4.96,5.5,1.79,5.29,5.47,0.00016033
E1503,3.9,8.34,7.69,3.46,9.81,0.22,3.88,4.43,7.06,9.404e-05
E1504,4.41,1.79,7.11,1.19,6.67,3.94,3.8,3.2,4.35,2.075e-05
E1505,7.34,4.79,0.05,6.61,0.63,3.22,3.99,6.49,7.79,0.00039303
E1506,7.2,4.38,7.06,6.66,0.29,4.16,9.71,8.39,7.21,0.000318
E1507,4.6,5.56,1.65,8.78,6.55,6.43,0.82,7.08,1.24,0.0002629
E1508,5.94,2.94,7.92,8.87,7.54,7.04,7.95,2.32,2.54,0.00016786
E1509,0.52,6.65,4.01,2.06,7.01,3.93,3.19,2.67,9.78,0.00029003
E1510,7.69,6.24,2.98,3.79,1.49,6.14,8.18,0.01,1.99,2.494e-05
E1511,5.51,9.72,1.75,8.11,9.72,3.04,3.18,4.74,5.68,0.00011847
E1512,1.18,8.58,3.1,4.76,7.0,3.13,4.15,9.69,4.67,7.229e-05
E1513,1.48,9.12,4.87,9.94,3.44,2.82,0.13,8.97,7.84,0.00025664
E1514,5.37,0.95,7.58,7.39,2.53,0.9,8.89,1.48,3.78,7.463e-05
